VP	Comp	RT	Error
1	incomp	430.9	0
1	incomp	814	0
1	comp	458.6	0
1	comp	465	0
1	incomp	1267.3	0
1	incomp	770.8	0
1	incomp	595.9	0
1	comp	491.1	0
1	incomp	895.2	0
1	comp	659.5	0
1	incomp	787.2	0
1	incomp	543.1	0
1	comp	481.3	0
1	incomp	772	0
1	comp	441.6	0
1	comp	626.1	0
1	comp	461	0
1	comp	733.2	0
1	incomp	934	0
1	incomp	737.6	0
1	incomp	674.6	0
1	comp	447	0
1	incomp	767.6	0
1	incomp	645.1	0
1	comp	591.4	0
1	comp	572.4	0
1	incomp	692.5	0
1	comp	675.2	0
1	incomp	687.3	0
1	comp	422.1	0
1	incomp	637.6	0
1	incomp	485.9	0
1	comp	509.1	0
1	comp	514.2	0
1	incomp	565.3	0
1	incomp	593.8	0
1	incomp	484.6	0
1	incomp	578.8	0
1	incomp	535.1	0
1	comp	574.6	0
1	incomp	542.8	0
1	comp	455.3	0
1	incomp	472.4	0
1	comp	507.6	0
1	incomp	648.2	0
1	incomp	626.5	0
1	comp	518	0
1	comp	504.5	0
1	incomp	554.4	0
1	incomp	1009.4	0
1	incomp	821.7	0
1	incomp	470	0
1	comp	538.1	0
1	incomp	734.3	0
1	incomp	586.5	0
1	incomp	589.2	0
1	comp	529.4	0
1	incomp	567	0
1	comp	461.4	0
1	comp	404.7	0
1	incomp	640.4	0
1	comp	463.2	0
1	incomp	479.8	0
1	comp	411.5	0
1	incomp	488.7	0
1	incomp	679.9	0
1	incomp	660.4	0
1	comp	467.4	0
1	incomp	707.7	0
1	incomp	521.7	0
1	comp	438.4	0
1	incomp	567.1	0
1	comp	493.9	0
1	comp	433.2	0
1	comp	583.9	0
1	comp	528	0
1	incomp	461.6	0
1	incomp	419.3	0
1	incomp	392.4	0
1	comp	336.2	0
1	comp	550.4	0
1	comp	391	0
1	comp	341.9	0
1	comp	398.7	0
1	comp	509.2	0
1	incomp	547.8	0
1	comp	527.5	0
1	comp	364	0
1	comp	439.7	0
1	incomp	785.6	0
1	incomp	989.5	0
1	incomp	563.2	0
1	comp	420	0
1	incomp	635.9	0
1	incomp	463.6	0
1	comp	433.3	0
1	comp	394.2	0
1	comp	409.9	0
1	comp	355.4	0
1	comp	349.2	0
1	comp	440	0
1	comp	422	0
1	comp	351	0
1	comp	405.6	0
1	incomp	523.4	0
1	incomp	434.8	0
1	comp	391.7	0
1	comp	362.4	0
1	incomp	462.5	0
1	comp	429.5	0
1	incomp	716.5	0
1	comp	554.7	0
1	incomp	607.2	0
1	incomp	460.4	0
1	incomp	543.6	0
1	incomp	507.7	0
1	comp	386.6	0
1	incomp	690.6	1
1	comp	574.6	0
1	comp	377.3	0
1	comp	455.7	0
1	incomp	1010.8	0
1	incomp	498.1	0
1	comp	358.3	0
1	comp	355.2	0
1	incomp	698.4	0
1	comp	406.2	0
1	comp	367.3	0
1	incomp	767.3	0
1	incomp	447.2	0
1	comp	360.8	0
1	incomp	528.4	0
1	comp	410	0
1	incomp	549.3	0
1	comp	387.3	0
1	comp	394.1	0
1	comp	384.8	0
1	comp	394	0
1	incomp	736.1	0
1	incomp	492.5	0
1	comp	422.9	0
1	incomp	494.7	0
1	comp	386.8	0
1	incomp	798.5	0
1	incomp	497.6	0
1	incomp	495.3	0
1	comp	533.3	0
1	incomp	549.6	0
1	comp	367.9	0
1	incomp	429.8	0
1	comp	338.5	0
1	incomp	451.4	0
1	incomp	456.9	0
1	incomp	371.7	0
1	comp	418	0
1	comp	358.5	0
1	comp	309.4	0
1	comp	357.3	0
1	comp	340	0
1	incomp	459.2	0
1	comp	364.3	0
1	incomp	501.7	0
1	comp	414.8	0
1	incomp	799	0
1	comp	377.9	0
1	incomp	709.5	0
1	incomp	666.5	0
1	incomp	499.2	0
1	comp	445	0
1	incomp	583.1	0
1	incomp	622.3	0
1	comp	667.6	0
1	incomp	580.3	0
1	incomp	867.3	0
1	comp	445.4	0
1	comp	352	0
1	incomp	457.7	0
1	incomp	479.1	0
1	comp	418.8	0
1	comp	529.8	0
1	incomp	486.2	0
1	incomp	471.9	0
1	incomp	468.9	0
1	comp	414.1	0
1	incomp	531.6	0
1	comp	385.1	0
1	comp	496.7	0
1	incomp	439.9	0
1	comp	391.7	0
1	incomp	613.7	0
1	incomp	570.7	0
1	comp	455	0
1	comp	419.9	0
1	comp	478.5	0
1	comp	410.9	0
1	incomp	707.1	0
1	comp	398	0
1	incomp	508.3	0
1	comp	436.3	0
1	comp	462.9	0
1	incomp	557.7	0
1	comp	446.9	0
1	incomp	500	0
1	comp	457.2	0
1	comp	403	0
1	comp	405.4	0
1	incomp	472.3	0
1	incomp	371.8	0
1	incomp	521.9	0
1	comp	442.2	0
1	incomp	550.6	0
1	comp	410	0
1	comp	480	0
1	comp	350.4	0
1	incomp	495	0
1	comp	415.2	0
1	comp	396.9	0
1	comp	369.6	0
1	comp	411.8	0
1	incomp	881.6	0
1	comp	383	0
1	incomp	693	0
1	comp	395.5	0
1	comp	404.5	0
1	comp	392.2	0
1	comp	377.3	0
1	incomp	635.4	0
1	comp	397	0
1	comp	425.9	0
1	comp	406.3	0
1	comp	380.4	0
1	comp	356.6	0
1	incomp	505.9	0
1	comp	326	0
1	comp	437.5	0
1	incomp	610.9	0
1	incomp	428.4	0
1	comp	429.5	0
1	incomp	440.1	0
1	comp	404.4	0
1	incomp	470.7	0
1	comp	385.8	0
1	comp	409.8	0
1	comp	353.6	0
1	comp	358.3	0
1	comp	401	0
1	comp	376.8	0
1	comp	368.2	0
1	incomp	807	0
1	incomp	690.5	0
1	incomp	517.3	0
1	incomp	420.4	0
1	comp	411	0
1	comp	368.1	0
1	incomp	389.8	0
1	incomp	430.3	0
1	incomp	547.2	0
1	comp	343.9	0
1	incomp	628.1	0
1	comp	338.3	0
1	incomp	639.4	0
1	incomp	413.1	0
1	incomp	545.8	0
1	comp	351.1	0
1	comp	437.6	0
1	incomp	547.5	0
1	comp	391.1	0
1	incomp	586.4	0
1	incomp	577.7	0
1	comp	386.5	0
1	comp	448.3	0
1	incomp	471.9	0
1	incomp	437.5	0
1	comp	478.8	0
1	comp	385	0
1	incomp	455.1	0
1	incomp	576	0
1	comp	364	0
1	incomp	618.6	0
1	comp	430.7	0
1	comp	393.6	0
1	incomp	552.6	0
1	comp	392.7	0
1	incomp	420	0
1	incomp	458.9	0
1	incomp	418.9	0
1	incomp	419.7	0
1	incomp	501.1	0
1	incomp	486.7	0
1	comp	476.9	0
1	comp	429.5	0
1	comp	381.8	0
1	incomp	483.8	0
1	incomp	437.4	0
1	incomp	423.8	0
1	incomp	419.9	0
1	incomp	457.4	0
1	comp	476	0
1	incomp	610.8	0
1	incomp	660	0
1	incomp	428.3	0
1	incomp	473.1	1
1	incomp	853.8	0
1	comp	484.8	0
1	incomp	442.4	0
1	incomp	445.9	0
1	incomp	412.8	0
1	comp	387.5	0
1	comp	429.4	0
1	incomp	479.4	0
1	incomp	402	0
1	comp	360.3	0
1	incomp	599.1	0
1	comp	379	0
1	incomp	618.5	0
1	incomp	535.3	0
1	comp	431.9	0
1	comp	378.7	0
1	incomp	625.9	0
1	incomp	465.2	0
1	incomp	548.5	0
1	incomp	418.8	0
1	comp	412.8	0
1	incomp	473.2	0
1	incomp	465.2	0
1	incomp	480.5	0
1	comp	404.3	0
1	comp	402.3	0
1	incomp	396.9	0
1	incomp	468.4	0
1	incomp	469.9	0
1	incomp	425.7	0
1	incomp	633.8	0
1	incomp	479.1	0
1	comp	402.1	0
1	comp	378.1	0
1	incomp	519.5	0
1	incomp	825.2	0
1	comp	449.1	0
1	comp	405.8	0
1	incomp	407.3	0
1	comp	410	0
1	comp	386.1	0
1	incomp	492.7	0
1	incomp	458.7	0
1	comp	455.1	0
1	incomp	726.8	0
1	comp	441.1	0
1	comp	393.4	0
1	incomp	565.7	0
1	comp	388.1	0
1	incomp	661.5	0
1	incomp	440.6	0
1	incomp	510.7	0
1	incomp	618.1	0
1	comp	468.3	0
1	comp	440.7	0
1	incomp	444.3	0
1	comp	631.9	0
1	comp	422.1	0
1	comp	383.8	0
1	incomp	570.8	0
1	incomp	439.3	0
1	incomp	596.1	0
1	comp	456	0
1	comp	367.7	0
1	incomp	803.2	0
1	incomp	565.4	0
1	incomp	462.7	0
1	incomp	513	0
1	incomp	557.4	0
1	comp	443.4	0
1	comp	383.2	0
1	comp	436.4	0
1	incomp	538.4	0
1	incomp	434.4	0
1	incomp	682.4	0
1	comp	471.3	0
1	incomp	658.6	0
1	comp	407	0
1	comp	409.4	0
1	incomp	421.1	0
1	comp	402.3	0
1	incomp	494.9	0
1	comp	347.6	0
1	comp	414.9	0
1	incomp	599.9	0
1	comp	397.7	0
1	comp	396.2	0
1	incomp	413	0
1	comp	393.8	0
1	comp	407.8	0
1	comp	422.7	0
1	incomp	688.4	0
1	comp	404.8	0
1	incomp	515.2	0
1	incomp	432.5	0
1	comp	361.8	0
1	comp	393.1	0
1	incomp	558.6	0
1	incomp	403.6	0
1	incomp	454.9	0
1	incomp	458.4	0
1	incomp	456.1	0
1	incomp	473.3	0
1	incomp	412.3	0
1	incomp	621.4	0
1	comp	426.6	0
1	incomp	923.4	0
1	incomp	440.6	0
1	incomp	459.7	0
1	incomp	450.1	0
1	comp	417.3	0
1	incomp	591.2	0
1	comp	348.4	0
1	incomp	493.9	0
1	incomp	533.8	0
1	comp	416.7	0
1	comp	436.3	0
1	comp	709.8	0
1	incomp	570.7	0
1	incomp	512.2	0
1	incomp	468.6	0
1	comp	415.7	0
1	incomp	434.4	0
1	incomp	540.7	0
1	incomp	491.4	0
1	comp	409.9	0
1	comp	426.8	0
1	comp	407.1	0
1	comp	360.7	0
1	incomp	484.2	0
1	incomp	468	0
1	incomp	567.7	0
1	incomp	487.9	0
1	comp	387.2	0
1	comp	409.3	0
1	comp	411.7	0
1	comp	378.1	0
1	incomp	657.2	0
1	comp	485.2	0
1	incomp	511.5	0
1	comp	460.9	0
1	comp	819.7	0
1	incomp	446.9	0
1	comp	453.3	0
1	incomp	629	0
1	comp	476.9	0
1	incomp	561.4	0
1	comp	558.4	0
1	incomp	606.7	0
1	comp	411	0
1	incomp	675.7	0
1	incomp	528.6	0
1	incomp	556.7	0
1	incomp	577.1	0
1	comp	390	0
1	comp	515.3	0
1	comp	444.6	0
1	comp	422.9	0
1	incomp	704.5	0
1	comp	417.6	0
1	comp	370.4	0
1	comp	339.3	0
1	incomp	663.5	0
1	comp	355.2	0
1	incomp	490.1	0
1	incomp	415.8	0
1	incomp	461.6	0
1	comp	376.6	0
1	incomp	478.6	0
1	comp	414.2	0
1	incomp	525.5	0
1	comp	407.9	0
1	incomp	588	0
1	incomp	425.4	0
1	incomp	481.3	0
1	comp	460.1	0
1	comp	406.7	0
1	incomp	493.5	0
1	incomp	430.9	0
1	incomp	592.8	0
1	comp	401.4	0
1	incomp	541.2	0
1	comp	449.6	0
1	incomp	457.9	0
1	comp	401.7	0
1	incomp	444.1	0
1	comp	423.1	0
1	incomp	424.6	0
1	comp	353.8	0
1	incomp	473.5	0
1	comp	371.9	0
1	incomp	574.4	0
1	comp	539.1	0
1	incomp	486	0
1	incomp	440.3	0
1	incomp	532.9	0
1	incomp	461.4	0
1	comp	400	0
1	comp	417.4	0
1	incomp	479.6	0
1	incomp	551.6	0
1	incomp	388.3	0
1	incomp	459.2	0
1	comp	404.7	0
1	comp	353.5	0
1	incomp	478	0
1	comp	364.6	0
1	incomp	557	0
1	incomp	483.7	0
1	comp	589.4	0
1	comp	396.1	0
1	comp	335.4	0
1	comp	397.9	0
1	comp	403.4	0
1	incomp	500.2	0
1	comp	352.2	0
1	incomp	517.9	0
1	comp	380	0
1	incomp	475.3	0
1	comp	485.6	0
1	comp	380.9	0
1	incomp	556	0
1	incomp	403.2	0
1	incomp	515.6	0
1	incomp	456	1
1	comp	439.5	0
1	incomp	488.8	0
1	incomp	450.9	0
1	comp	376.1	0
1	comp	332.8	0
1	comp	356.9	0
1	comp	395.9	0
1	incomp	444.7	0
1	comp	406.4	0
1	incomp	441.1	0
1	incomp	437.6	0
1	comp	356.1	0
1	comp	391.6	0
1	comp	362	0
1	comp	392	0
1	incomp	751.9	0
1	comp	367.9	0
1	comp	394.8	0
1	incomp	552.1	0
1	incomp	437.9	0
1	comp	410.6	0
1	comp	410.8	0
1	comp	378	0
1	incomp	433.8	0
1	comp	402.6	0
1	incomp	452	0
1	comp	346.4	0
1	incomp	403.7	0
1	incomp	430.3	0
1	incomp	428.4	0
1	comp	353.2	0
1	comp	387	0
1	incomp	472.1	0
1	comp	400.9	0
1	incomp	426.7	0
1	incomp	454.2	0
1	comp	358.9	0
1	comp	429.7	0
1	incomp	392.3	0
1	incomp	405.7	0
1	comp	341.2	0
1	comp	368.2	0
1	comp	383.5	0
1	comp	434	0
