VP	Comp	RT	Error
114	comp	476.658529000019	0
114	comp	387.225210000111	0
114	incomp	378.634275000081	0
114	incomp	320.967870000004	0
114	incomp	376.986229000067	0
114	comp	451.398883000024	0
114	comp	361.861225999974	0
114	comp	505.773512000019	0
114	incomp	405.307623999988	0
114	incomp	393.985335000025	0
114	comp	390.661750000049	0
114	comp	348.859750999964	0
114	incomp	355.557248999958	0
114	comp	452.240024000048	0
114	incomp	421.848878000105	0
114	incomp	343.620999000109	0
114	comp	321.416002000092	0
114	comp	309.408524000105	0
114	incomp	411.537440000075	0
114	incomp	383.666441000059	0
114	incomp	377.803804000223	0
114	comp	394.160881000062	0
114	incomp	362.906386000077	0
114	incomp	362.62694900006	0
114	comp	365.73791800015	0
114	incomp	391.787513000054	0
114	incomp	344.07285899988	0
114	incomp	383.587960000114	0
114	incomp	380.945435000058	0
114	incomp	372.099401000241	0
114	comp	403.999442999975	0
114	incomp	335.688095000023	1
114	incomp	345.592315000204	0
114	incomp	529.109480000216	0
114	incomp	443.384368000125	0
114	comp	467.414367000174	0
114	comp	383.370052999908	0
114	incomp	408.78299499991	0
114	incomp	297.327576000043	0
114	comp	450.252069000044	0
114	incomp	431.624489999876	0
114	comp	395.815492999873	0
114	comp	359.430780000139	0
114	comp	342.11140299999	0
114	comp	423.570420000033	0
114	comp	337.491585999942	0
114	comp	325.000986000077	0
114	comp	361.857334000206	0
114	incomp	510.004137999886	0
114	comp	377.498994000007	0
114	comp	311.71810900014	0
114	incomp	415.849726000033	0
114	comp	459.58248099987	0
114	incomp	396.269978999953	0
114	comp	520.370661000015	0
114	incomp	405.719971000053	0
114	comp	371.289249000256	0
114	comp	390.274729000112	0
114	comp	360.017295000034	0
114	incomp	421.511719000137	0
114	comp	503.643052000143	0
114	incomp	391.200265999942	0
114	incomp	446.81225699992	0
114	comp	344.91343600007	0
114	incomp	391.489005000039	0
114	comp	595.855951999965	0
114	incomp	400.171010999884	0
114	comp	433.859299000005	0
114	comp	337.962272000141	0
114	incomp	351.406156999928	0
114	comp	314.12077799996	0
114	incomp	341.259820000232	0
114	comp	415.581887000144	0
114	incomp	474.840481999991	0
114	incomp	409.401950000074	0
114	comp	519.901821000076	0
114	comp	325.681365000037	0
114	comp	429.834775000245	0
114	comp	406.011486000125	0
114	comp	381.671714000049	0
114	comp	362.137136999991	0
114	comp	360.019489000024	0
114	incomp	421.930898000028	0
114	comp	376.84863100003	0
114	comp	358.191945000044	0
114	incomp	470.865702000083	0
114	incomp	435.146472000042	0
114	comp	355.968099000165	0
114	incomp	400.715398000102	0
114	incomp	415.266743000075	0
114	incomp	392.131264999989	0
114	comp	358.418083000061	0
114	incomp	423.586755000088	0
114	incomp	379.496591999896	0
114	comp	341.597046000061	0
114	incomp	350.125481000077	0
114	incomp	371.917923000183	0
114	comp	332.016587999988	0
114	incomp	353.323005999982	0
114	incomp	391.996000000063	0
114	comp	347.13543099997	0
114	incomp	374.423643000227	0
114	comp	414.944932000026	0
114	incomp	362.317349000023	0
114	incomp	377.556365000146	0
114	comp	397.969811000166	0
114	incomp	427.603230000159	0
114	comp	312.737213999981	0
114	incomp	345.578690000139	0
114	incomp	387.529871999959	0
114	comp	310.860386000058	0
114	incomp	413.849862000234	0
114	incomp	457.817873000067	0
114	comp	307.361154000091	0
114	comp	363.187352000068	0
114	incomp	376.115796000022	0
114	incomp	398.106054000209	0
114	incomp	267.694961000188	0
114	incomp	397.87271299997	0
114	comp	307.496505000017	0
114	incomp	367.343433000087	0
114	comp	418.14552400001	0
114	incomp	405.229242999894	0
114	incomp	493.876146000048	0
114	incomp	372.097574999998	0
114	comp	382.362318999867	1
114	incomp	396.920040000168	0
114	incomp	397.324291999894	0
114	comp	408.015856000247	0
114	incomp	453.505303999918	0
114	comp	452.921940000124	0
114	incomp	368.112744999962	0
114	incomp	409.589774000096	0
114	comp	383.655535000116	0
114	incomp	399.935749999941	0
114	incomp	413.552753000204	0
114	comp	377.508605000003	0
114	comp	376.689239999905	0
114	comp	367.107712000006	0
114	comp	496.848898000053	0
114	comp	428.704174999893	0
114	incomp	395.406915999956	0
114	comp	318.107530000134	0
114	comp	416.121202000113	0
114	incomp	428.198811000129	0
114	comp	488.424943000155	0
114	comp	327.471474000049	0
114	incomp	396.78277500002	0
114	comp	296.535933000087	0
114	comp	309.375326999998	0
114	incomp	430.379670000093	0
114	incomp	396.135361000233	0
114	comp	289.005594000173	0
114	comp	313.299785000027	0
114	comp	315.522894999958	0
114	incomp	393.091679000008	0
114	comp	333.84679400001	0
114	comp	284.622765999984	0
114	comp	418.8053580001	0
114	incomp	411.085042000195	0
114	comp	315.518615999963	0
114	incomp	449.200545000167	0
114	incomp	368.204844000047	0
114	incomp	373.152607000065	0
114	comp	349.309145999996	0
114	incomp	377.876676000142	0
114	comp	397.181981000131	0
114	incomp	380.781725999896	0
114	comp	374.188289000131	0
114	comp	512.194316999967	0
114	comp	337.938535999911	0
114	incomp	405.351225999993	0
114	comp	381.325883000045	0
114	comp	302.614941000002	0
114	incomp	438.05825000004	0
114	comp	335.284756999954	0
114	incomp	404.670272999965	0
114	comp	443.322541000271	0
114	comp	342.800200000056	0
114	comp	289.167276999933	0
114	comp	388.044880000052	0
114	incomp	492.887257999882	0
114	incomp	328.327669000146	0
114	comp	292.727457999945	0
114	comp	381.63608900004	0
114	incomp	370.896985000172	0
114	incomp	343.343203000131	0
114	comp	408.44924299995	0
114	incomp	402.014467000072	0
114	comp	373.553667000124	1
114	incomp	430.115943000146	0
114	comp	459.422025000094	0
114	incomp	404.779299000211	0
114	comp	371.371945999954	0
114	incomp	429.528333999997	0
114	comp	399.427099999912	0
114	incomp	373.338426000146	0
114	incomp	407.244482000124	0
114	incomp	371.901184999842	0
114	incomp	391.87387700008	0
114	comp	512.601960999973	0
114	comp	382.967920000056	0
114	incomp	331.358445999967	0
114	comp	320.601674000045	0
114	incomp	313.894862000097	0
114	comp	353.988367000056	0
114	incomp	393.599815000016	0
114	incomp	314.708977000009	0
114	comp	312.161255000092	0
114	comp	395.20954999989	0
114	incomp	341.809391000197	0
114	comp	442.081412000107	0
114	incomp	442.282686000226	0
114	comp	383.590671000093	0
114	comp	346.055371000148	0
114	comp	367.722915000058	0
114	incomp	515.59528000007	0
114	comp	335.388755000167	0
114	incomp	353.878102999943	0
114	incomp	310.356042999956	0
114	incomp	433.264730000019	0
114	comp	375.572947999899	0
114	incomp	376.405592000083	0
114	comp	319.786867000175	0
114	comp	304.006851000167	0
114	comp	294.686670999909	0
114	incomp	381.44721100025	0
114	comp	435.812011000053	0
114	incomp	338.15576500001	1
114	incomp	500.847694000186	0
114	incomp	437.373246000107	0
114	incomp	401.597394999953	0
114	comp	445.151097000007	0
114	incomp	383.697199999915	0
114	incomp	410.043863000055	0
114	comp	323.987578000015	0
114	comp	319.945100000041	0
114	incomp	469.118141000081	0
114	comp	491.917820000026	0
114	comp	418.683455000064	0
114	comp	314.078351000035	0
114	comp	430.081290000089	0
114	comp	353.344775000096	0
114	incomp	392.14168400008	0
114	incomp	418.427714000018	0
114	comp	579.214077000188	0
114	comp	376.749367999992	0
114	comp	395.240088000037	0
114	incomp	426.84999700009	0
114	comp	371.145492000096	0
114	incomp	493.181581000044	0
114	incomp	458.774832000245	0
114	comp	441.071952000129	0
114	comp	463.536174000183	0
114	incomp	366.080904	0
114	incomp	453.455398000187	0
114	incomp	389.913606000164	0
114	comp	393.014953000147	0
114	comp	397.782678000112	0
114	comp	477.359004999926	0
114	incomp	385.554081999999	0
114	incomp	427.9132019999	0
114	incomp	515.528256000152	0
114	incomp	463.920754000128	0
114	incomp	415.706612000122	0
114	incomp	410.726524000211	0
114	comp	533.251641000106	0
114	comp	374.095952000062	0
114	comp	319.429162000006	0
114	incomp	396.374546000061	0
114	incomp	370.10738999993	0
114	comp	367.985511999905	0
114	incomp	426.021824000145	0
114	comp	331.257300000061	0
114	comp	317.557744999931	0
114	comp	347.824428000195	0
114	incomp	396.249558999898	0
114	comp	310.262806000082	0
114	comp	341.888876999974	0
114	comp	311.134594000123	0
114	incomp	354.084815000078	1
114	incomp	378.574816000082	0
114	incomp	355.221807000135	0
114	incomp	591.46715299994	0
114	incomp	346.077422000008	1
114	incomp	352.692096000055	0
114	incomp	449.305491000132	0
114	comp	411.802084000101	0
114	incomp	404.85489799994	0
114	incomp	461.430345000053	0
114	comp	347.246971000004	0
114	incomp	452.060311000196	0
114	comp	519.390648000126	0
114	incomp	383.300540000164	0
114	comp	375.661728000068	0
114	incomp	412.521243000128	0
114	incomp	437.396928000226	0
114	comp	463.78238200009	0
114	comp	425.543027000003	0
114	comp	371.583039000143	0
114	incomp	435.801509999919	0
114	comp	438.152876000004	0
114	comp	377.950150000061	1
114	incomp	421.646339000063	0
114	comp	346.728599000016	0
114	comp	307.324740000013	0
114	incomp	383.151499000178	0
114	comp	357.615788000203	0
114	incomp	357.137423000268	0
114	incomp	416.764113999989	0
114	comp	438.834615999895	0
114	comp	326.964784999973	0
