Subject	Comp	RT	Error
1	comp	601.657182	0
1	comp	451.429318	0
1	comp	418.097066	0
1	incomp	451.436473	0
1	comp	401.312413	0
1	incomp	434.748879	0
1	incomp	468.159853	0
1	comp	468.054933	0
1	comp	434.717557	0
1	incomp	468.138368	0
1	incomp	401.420386	1
1	comp	501.502385	0
1	incomp	484.80167	0
1	incomp	401.2714	0
1	incomp	401.348827	0
1	comp	368.009617	0
1	comp	384.618948	0
1	incomp	434.765664	0
1	incomp	434.797407	0
1	incomp	451.471055	0
1	comp	634.901288	0
1	comp	551.524988	0
1	comp	434.764515	0
1	incomp	401.427847	0
1	incomp	451.482596	0
1	incomp	451.454197	0
1	comp	418.096732	0
1	comp	434.786276	0
1	incomp	518.179269	0
1	incomp	534.772773	0
1	comp	384.663452	0
1	comp	518.139295	0
1	comp	384.388357	0
1	incomp	434.728884	0
1	comp	434.762418	0
1	incomp	484.856766	0
1	comp	384.756154	0
1	incomp	368.044894	0
1	incomp	484.834213	0
1	comp	401.446324	0
1	comp	401.292396	0
1	incomp	368.058521	0
1	incomp	418.076029	0
1	comp	434.829022	0
1	incomp	501.486927	0
1	incomp	468.111695	0
1	comp	384.623084	0
1	comp	384.755575	0
1	incomp	434.844952	0
1	incomp	518.190457	0
1	comp	451.403485	0
1	incomp	418.035784	0
1	comp	484.764278	0
1	comp	468.151146	0
1	comp	451.504961	0
1	incomp	518.219917	0
1	comp	1068.847949	0
1	comp	351.293628	0
1	incomp	384.773254	0
1	comp	468.133776	1
1	comp	451.471951	0
1	comp	434.748685	0
1	comp	351.37073	0
1	comp	334.648459	0
1	incomp	518.082765	0
1	incomp	401.349963	0
1	incomp	434.807642	0
1	comp	401.045074	0
1	incomp	468.137258	0
1	comp	484.807741	0
1	incomp	418.069247	0
1	incomp	451.382255	0
1	incomp	451.469793	1
1	comp	501.418948	0
1	incomp	401.411123	0
1	incomp	484.587289	0
1	comp	334.656902	0
1	comp	451.334259	0
1	incomp	451.463351	0
1	incomp	401.453763	0
1	incomp	785.052375	0
1	incomp	401.439349	0
1	incomp	618.376038	0
1	incomp	367.933358	0
1	comp	384.714349	0
1	incomp	401.421201	0
1	comp	501.371597	0
1	incomp	317.981919	0
1	incomp	434.750471	0
1	comp	468.100028	0
1	incomp	418.056492	0
1	incomp	434.819131	0
1	incomp	384.742958	0
1	incomp	367.991213	0
1	incomp	384.768595	0
1	comp	317.990245	0
1	comp	318.032131	0
1	comp	351.305045	0
1	comp	317.89507	0
1	comp	401.367605	0
1	comp	301.296206	0
1	comp	267.978084	0
1	comp	401.356646	0
1	incomp	368.006549	1
1	comp	351.274347	0
1	incomp	384.751287	1
1	incomp	468.077558	0
1	comp	451.516379	0
1	comp	368.040418	0
1	incomp	418.106649	0
1	comp	334.637983	0
1	comp	334.647211	0
1	comp	518.266228	0
1	incomp	468.122295	0
1	incomp	384.570576	0
1	comp	434.750121	0
1	incomp	368.047647	1
1	comp	401.424616	0
1	comp	451.490414	0
1	comp	451.46405	0
1	incomp	484.859353	0
1	comp	468.194676	0
1	incomp	384.746462	0
1	incomp	551.68469	0
1	incomp	534.903023	0
1	incomp	518.168546	0
1	comp	501.57323	0
1	comp	401.415633	0
1	comp	418.086229	0
1	incomp	501.472517	0
1	incomp	451.48507	0
1	incomp	401.44571	0
1	comp	468.158893	0
1	incomp	451.44885	0
1	incomp	451.42062	0
1	incomp	468.197198	0
1	comp	334.551958	0
1	comp	267.954873	0
1	incomp	418.029523	0
1	incomp	401.348279	0
1	comp	651.713641	0
1	comp	401.401832	0
1	comp	334.652004	0
1	comp	401.410726	0
1	incomp	468.166805	0
1	comp	368.040573	0
1	incomp	468.089261	0
1	incomp	418.075922	0
1	comp	384.726935	0
1	incomp	384.598544	0
1	incomp	434.824321	0
1	incomp	434.795205	0
1	incomp	668.22789	0
1	incomp	384.672136	0
1	comp	401.377954	0
1	comp	384.713773	0
1	comp	401.4142	0
1	incomp	401.410617	0
1	comp	401.436609	0
1	comp	401.463544	0
1	comp	401.264192	0
1	comp	351.347445	0
1	incomp	401.409167	0
1	incomp	367.973121	0
1	comp	368.067561	0
1	comp	401.355069	0
1	incomp	401.408188	0
1	comp	384.656278	0
1	comp	368.0168	0
1	comp	334.680585	0
1	incomp	401.41204	0
1	incomp	468.104799	0
1	comp	367.995087	0
1	comp	367.908581	0
1	incomp	351.326296	1
1	comp	501.565753	0
1	comp	384.706082	0
1	comp	401.438695	0
1	comp	418.101069	0
1	incomp	651.684367	0
1	comp	484.817351	0
1	comp	451.502608	0
1	comp	434.82387	0
1	comp	418.142506	0
1	comp	418.081846	0
1	incomp	367.914645	0
1	incomp	451.516587	0
1	comp	468.217541	0
1	comp	417.969705	0
1	incomp	434.747032	0
1	incomp	451.397372	0
1	incomp	434.829576	0
1	comp	384.616674	0
1	incomp	501.54427	0
1	incomp	484.868035	0
1	incomp	401.382185	0
1	incomp	451.35239	0
1	incomp	418.055802	0
1	incomp	568.308675	1
1	comp	518.194106	0
1	comp	401.445875	0
1	comp	368.025477	0
1	incomp	434.79145	0
1	comp	401.360331	0
1	incomp	401.365581	0
1	incomp	484.852211	0
1	comp	401.432994	0
1	comp	401.470788	0
1	comp	334.65212	0
1	comp	418.106134	0
1	comp	368.020274	0
1	comp	334.356126	0
1	comp	368.050463	0
1	incomp	534.921662	0
1	incomp	501.482572	0
1	comp	618.323764	0
1	incomp	451.398093	0
1	incomp	418.102072	0
1	incomp	484.850351	0
1	incomp	785.095226	0
1	incomp	468.169567	0
1	incomp	367.968305	0
1	incomp	434.858641	0
1	incomp	501.522921	0
1	incomp	451.427868	0
1	comp	484.772372	0
1	comp	451.443729	0
1	incomp	451.475862	0
1	incomp	368.056308	0
1	incomp	534.824582	0
1	comp	401.265982	0
